cluster,result(-1 wrong 0 right,time(5 best 1 worst),noq,penalties,Score
5,0,3,198,,5
4,0,3,111,,4
4,-1,4,291,,4
5,-1,5,652,,5
4,-1,4,923,,4
5,0,4,445,,5
3,-1,5,784,,3
1,0,2,147,,1
4,0,2,546,,4
4,-1,2,431,,4
4,0,4,243,,4
3,0,4,279,,3
2,-1,5,734,,2
2,0,2,154,,2
3,-1,4,844,,2
2,-1,2,491,,2
5,-1,1,601,,5
4,0,2,22,,4
1,0,4,792,,1
3,-1,5,182,,2
3,-1,4,926,,3
1,-1,5,609,,1
4,0,3,999,,4
1,0,4,343,,1
2,-1,4,814,,2
5,-1,4,806,,5
2,0,1,355,,3
1,-1,4,197,,1
4,0,2,101,,4
5,0,3,374,,5
4,-1,1,494,,4
2,-1,3,38,,2
3,0,5,784,,4
3,-1,4,729,,3
5,0,3,632,,5
5,-1,5,487,,5
4,0,5,320,,5
5,0,5,402,,5
2,0,4,672,,2
3,-1,4,734,,3
2,0,4,660,,2
2,-1,2,916,,1
3,0,5,523,,4
1,-1,4,910,,1
4,0,2,485,,4
1,-1,5,991,,1
5,0,2,251,,5
2,-1,3,674,,1
1,0,2,227,,2
1,-1,3,854,,1
3,0,3,489,,4
2,0,2,229,,2
1,0,1,106,,2
4,-1,2,159,,3
3,0,1,279,,4
5,-1,4,456,,5
1,-1,2,606,,1
5,0,1,459,,5
2,0,5,382,,3
4,-1,3,592,,3
4,-1,5,495,,4
3,-1,5,433,,3
4,0,1,900,,5
2,-1,4,877,,1
1,-1,5,780,,1
3,0,2,129,,3
3,0,4,987,,3
4,0,4,925,,4
4,-1,1,721,,4
3,-1,5,247,,3
2,-1,5,295,,2
5,-1,3,110,,4
5,-1,1,366,,5
1,-1,1,126,,1
4,-1,2,780,,3
5,-1,4,158,,4
4,0,3,884,,4
3,0,3,452,,3
5,0,5,449,,5
1,0,5,262,,2
3,-1,1,347,,3
3,0,5,875,,4
1,0,2,661,,1
2,0,1,439,,3
5,0,3,528,,5
2,0,5,634,,3
4,-1,4,601,,3
5,-1,1,603,,5
1,-1,5,679,,1
4,0,2,52,,4
3,-1,4,662,,2
3,-1,5,753,,3
3,-1,1,253,,3
2,-1,1,227,,2
2,0,5,523,,3
4,0,2,987,,5
2,-1,1,991,,2
1,0,3,535,,1
1,-1,2,889,,1
4,0,2,593,,4
1,-1,5,853,,1
3,-1,1,646,,3
5,-1,4,995,,5
2,0,1,258,,3
4,0,4,799,,4
1,0,4,573,,1
5,0,1,187,,5
4,-1,5,615,,4
2,-1,3,535,,2
1,-1,4,902,,1
4,-1,3,111,,4
3,0,4,677,,3
2,0,4,939,,2
2,-1,2,784,,2
5,0,4,306,,5
5,0,1,411,,5
4,-1,5,46,,3
5,0,1,426,,5
4,-1,4,294,,3
5,0,1,657,,5
1,0,3,149,,1
2,0,4,804,,2
2,0,2,552,,2
2,0,3,828,,2
3,0,3,766,,3
3,-1,2,78,,3
1,-1,2,151,,1
3,0,4,333,,3
5,-1,1,4,,5
3,0,4,706,,3
5,0,2,182,,5
1,-1,1,492,,1
5,-1,4,86,,4
1,-1,3,567,,1
3,-1,1,538,,3
5,0,1,758,,5
3,0,2,633,,3
5,0,5,531,,5
2,-1,2,53,,2
3,0,5,439,,4
5,0,1,641,,5
5,0,3,735,,5
5,0,5,477,,5
1,-1,3,761,,1
2,-1,3,918,,1
1,-1,4,525,,1
1,-1,4,275,,1
5,0,5,16,,5
2,0,5,210,,3
4,-1,3,455,,4
4,-1,1,791,,4
3,0,3,752,,4
4,0,3,111,,4
1,0,3,928,,2
1,-1,2,863,,1
2,0,4,468,,2
4,0,4,353,,4
5,0,4,98,,5
4,0,2,599,,5
3,0,5,998,,4
5,-1,2,66,,5
1,0,4,420,,1
3,-1,5,661,,2
4,-1,3,866,,4
